,uid,name,value
151,563b9444-5c75-4668-a6a5-094aacaf419f,Mass Loss,
152,56503a6b-2a4b-46f9-b62a-27090c83360e,Phase,
153,56503a6b-2a4b-46f9-b62a-27090c83360e,Lattice Parameter,
154,56503a6b-2a4b-46f9-b62a-27090c83360e,"Hardness, HV",
155,56503a6b-2a4b-46f9-b62a-27090c83360e,"SD, HV",
156,586f8b2e-5bdf-40c0-b859-dd9d30a5ff96,Weighed Mass,
157,586f8b2e-5bdf-40c0-b859-dd9d30a5ff96,Mass Loss,
158,58dffe0f-1e29-4db8-af34-9d7b6d11b9fe,Weighed Mass,
159,58dffe0f-1e29-4db8-af34-9d7b6d11b9fe,Mass Loss,
160,5b1c3b64-e561-43bd-a4af-7f4e751c714a,Weighed Mass,
161,5b1c3b64-e561-43bd-a4af-7f4e751c714a,Mass Loss,
162,5e7cbef6-73a0-4286-adba-cba0e67b0f51,Phase,
163,5e7cbef6-73a0-4286-adba-cba0e67b0f51,Lattice Parameter,
164,5e7cbef6-73a0-4286-adba-cba0e67b0f51,"Hardness, HV",
165,5e7cbef6-73a0-4286-adba-cba0e67b0f51,"SD, HV",
166,619639b9-927f-42f7-800a-a8462eca738b,Weighed Mass,
167,619639b9-927f-42f7-800a-a8462eca738b,Mass Loss,
168,62ad9728-f350-436b-a4f7-ec2caa51e540,Weighed Mass,
169,62ad9728-f350-436b-a4f7-ec2caa51e540,Mass Loss,
170,63ce0ec3-e40e-42c8-8042-a1c4380c8e7e,Weighed Mass,
171,63ce0ec3-e40e-42c8-8042-a1c4380c8e7e,Mass Loss,
172,6634c728-56c2-40f5-a381-3cd4298f932f,Weighed Mass,
173,6634c728-56c2-40f5-a381-3cd4298f932f,Mass Loss,
174,6c05bc90-6c2f-4313-8748-6698dfb05c2b,Phase,
175,6c05bc90-6c2f-4313-8748-6698dfb05c2b,Lattice Parameter,
176,6c05bc90-6c2f-4313-8748-6698dfb05c2b,"Hardness, HV",
177,6c05bc90-6c2f-4313-8748-6698dfb05c2b,"SD, HV",
178,6c420fb9-14dd-4d56-9385-f9bd5fb7229f,"Elastic Modulus, GPa",
179,6c420fb9-14dd-4d56-9385-f9bd5fb7229f,"Yield Strength, MPa",
180,6c420fb9-14dd-4d56-9385-f9bd5fb7229f,"UTS, MPa",
181,6c420fb9-14dd-4d56-9385-f9bd5fb7229f,"Elongation, %",
182,6c420fb9-14dd-4d56-9385-f9bd5fb7229f,"Strain Hardening, MPa",
183,6c420fb9-14dd-4d56-9385-f9bd5fb7229f,dUTS_dY,
184,6c5f64f3-8d8c-4e97-9c64-ff1586d0351c,Weighed Mass,
185,6c5f64f3-8d8c-4e97-9c64-ff1586d0351c,Mass Loss,
186,6e12be7d-8e9d-4807-9a34-23d90f1f3390,"Elastic Modulus, GPa",
187,6e12be7d-8e9d-4807-9a34-23d90f1f3390,"Yield Strength, MPa",
188,6e12be7d-8e9d-4807-9a34-23d90f1f3390,"UTS, MPa",
189,6e12be7d-8e9d-4807-9a34-23d90f1f3390,"Elongation, %",
190,6e12be7d-8e9d-4807-9a34-23d90f1f3390,"Strain Hardening, MPa",
191,6e12be7d-8e9d-4807-9a34-23d90f1f3390,dUTS_dY,
192,70ebc0bb-8db9-4e3a-a723-f78b193810eb,Weighed Mass,
193,70ebc0bb-8db9-4e3a-a723-f78b193810eb,Mass Loss,
194,72c7a4a5-b182-4246-aeaa-e191678c7680,"Elastic Modulus, GPa",
195,72c7a4a5-b182-4246-aeaa-e191678c7680,"Yield Strength, MPa",
196,72c7a4a5-b182-4246-aeaa-e191678c7680,"UTS, MPa",
197,72c7a4a5-b182-4246-aeaa-e191678c7680,"Elongation, %",
198,72c7a4a5-b182-4246-aeaa-e191678c7680,"Strain Hardening, MPa",
199,72c7a4a5-b182-4246-aeaa-e191678c7680,dUTS_dY,
200,72d63ce3-85fc-451b-a557-84c43f81d835,Weighed Mass,
201,72d63ce3-85fc-451b-a557-84c43f81d835,Mass Loss,
202,74a073b6-59cc-4fc0-a2b5-437e048b55df,Weighed Mass,
203,74a073b6-59cc-4fc0-a2b5-437e048b55df,Mass Loss,
204,76c1cbc8-67cf-4b6d-a67d-70a3eda373c6,"Elastic Modulus, GPa",
205,76c1cbc8-67cf-4b6d-a67d-70a3eda373c6,"Yield Strength, MPa",
206,76c1cbc8-67cf-4b6d-a67d-70a3eda373c6,"UTS, MPa",
207,76c1cbc8-67cf-4b6d-a67d-70a3eda373c6,"Elongation, %",
208,76c1cbc8-67cf-4b6d-a67d-70a3eda373c6,"Strain Hardening, MPa",
209,76c1cbc8-67cf-4b6d-a67d-70a3eda373c6,dUTS_dY,
210,772cae9f-821a-48c8-92e5-c418163ea22a,"Elastic Modulus, GPa",
211,772cae9f-821a-48c8-92e5-c418163ea22a,"Yield Strength, MPa",
212,772cae9f-821a-48c8-92e5-c418163ea22a,"UTS, MPa",
213,772cae9f-821a-48c8-92e5-c418163ea22a,"Elongation, %",
214,772cae9f-821a-48c8-92e5-c418163ea22a,"Strain Hardening, MPa",
215,772cae9f-821a-48c8-92e5-c418163ea22a,dUTS_dY,
216,794923b3-148c-4eae-bbd9-7da4b5a939ae,Weighed Mass,
217,794923b3-148c-4eae-bbd9-7da4b5a939ae,Mass Loss,
218,795cea22-772c-4c38-a7a6-593ba96b9f27,"Elastic Modulus, GPa",
219,795cea22-772c-4c38-a7a6-593ba96b9f27,"Yield Strength, MPa",
220,795cea22-772c-4c38-a7a6-593ba96b9f27,"UTS, MPa",
221,795cea22-772c-4c38-a7a6-593ba96b9f27,"Elongation, %",
222,795cea22-772c-4c38-a7a6-593ba96b9f27,"Strain Hardening, MPa",
223,795cea22-772c-4c38-a7a6-593ba96b9f27,dUTS_dY,
224,796e496f-ff2f-427d-8f88-75868e5cae69,Weighed Mass,
225,796e496f-ff2f-427d-8f88-75868e5cae69,Mass Loss,
226,7a454cfa-2db6-4cd5-8759-40d12c6e5039,Weighed Mass,
227,7a454cfa-2db6-4cd5-8759-40d12c6e5039,Mass Loss,
228,7afb9f2e-a0b8-444f-b517-669ea3f369d3,Weighed Mass,
229,7afb9f2e-a0b8-444f-b517-669ea3f369d3,Mass Loss,
230,7d5e44af-f266-419c-89aa-df4882a07a3e,Weighed Mass,
231,7d5e44af-f266-419c-89aa-df4882a07a3e,Mass Loss,
232,7e22f80e-8b52-48de-a36e-7f680119cdab,Weighed Mass,
233,7e22f80e-8b52-48de-a36e-7f680119cdab,Mass Loss,
234,81133c17-15ef-4e05-acca-3b505fe46068,Weighed Mass,
235,81133c17-15ef-4e05-acca-3b505fe46068,Mass Loss,
236,82b5b277-7f35-4e8f-913a-25d719ac54a5,Weighed Mass,
237,82b5b277-7f35-4e8f-913a-25d719ac54a5,Mass Loss,
238,84bba37a-90e2-4cdc-a7ee-6100b5b6f577,"Elastic Modulus, GPa",
239,84bba37a-90e2-4cdc-a7ee-6100b5b6f577,"Yield Strength, MPa",
240,84bba37a-90e2-4cdc-a7ee-6100b5b6f577,"UTS, MPa",
241,84bba37a-90e2-4cdc-a7ee-6100b5b6f577,"Elongation, %",
242,84bba37a-90e2-4cdc-a7ee-6100b5b6f577,"Strain Hardening, MPa",
243,84bba37a-90e2-4cdc-a7ee-6100b5b6f577,dUTS_dY,
244,853a8ddf-1d0f-416b-95f3-90c059b347b3,Weighed Mass,
245,853a8ddf-1d0f-416b-95f3-90c059b347b3,Mass Loss,
246,86e6e324-63ea-48a6-a06b-56426b69b461,"Elastic Modulus, GPa",
247,86e6e324-63ea-48a6-a06b-56426b69b461,"Yield Strength, MPa",
248,86e6e324-63ea-48a6-a06b-56426b69b461,"UTS, MPa",
249,86e6e324-63ea-48a6-a06b-56426b69b461,"Elongation, %",
250,86e6e324-63ea-48a6-a06b-56426b69b461,"Strain Hardening, MPa",
251,86e6e324-63ea-48a6-a06b-56426b69b461,dUTS_dY,
252,8ba9f356-7b94-4632-b0fb-e44364f715fc,Weighed Mass,
253,8ba9f356-7b94-4632-b0fb-e44364f715fc,Mass Loss,
254,8d7d5af2-6b04-463a-ac4e-56e1beb17d3f,Weighed Mass,
255,8d7d5af2-6b04-463a-ac4e-56e1beb17d3f,Mass Loss,
256,8e9d55bb-c333-4e33-bfd8-8c4996ef427a,"Elastic Modulus, GPa",
257,8e9d55bb-c333-4e33-bfd8-8c4996ef427a,"Yield Strength, MPa",
258,8e9d55bb-c333-4e33-bfd8-8c4996ef427a,"UTS, MPa",
259,8e9d55bb-c333-4e33-bfd8-8c4996ef427a,"Elongation, %",
260,8e9d55bb-c333-4e33-bfd8-8c4996ef427a,"Strain Hardening, MPa",
261,8e9d55bb-c333-4e33-bfd8-8c4996ef427a,dUTS_dY,
262,938edd3e-1e09-4072-8731-e6894b95a9ed,"Elastic Modulus, GPa",
263,938edd3e-1e09-4072-8731-e6894b95a9ed,"Yield Strength, MPa",
264,938edd3e-1e09-4072-8731-e6894b95a9ed,"UTS, MPa",
265,938edd3e-1e09-4072-8731-e6894b95a9ed,"Elongation, %",
266,938edd3e-1e09-4072-8731-e6894b95a9ed,"Strain Hardening, MPa",
267,938edd3e-1e09-4072-8731-e6894b95a9ed,dUTS_dY,
268,948ddadf-f0e6-4022-a2f3-0de0884ea878,Weighed Mass,
269,948ddadf-f0e6-4022-a2f3-0de0884ea878,Mass Loss,
270,958bed36-d4af-4f6d-819d-e81e8b132f8b,Weighed Mass,
271,958bed36-d4af-4f6d-819d-e81e8b132f8b,Mass Loss,
272,98f66b85-e270-42ec-bece-9865783ce0e7,Weighed Mass,
273,98f66b85-e270-42ec-bece-9865783ce0e7,Mass Loss,
274,9a6beabe-3c70-417d-8afc-a330a6efcd2f,Weighed Mass,
275,9a6beabe-3c70-417d-8afc-a330a6efcd2f,Mass Loss,
276,9a7600ec-e324-40c7-842d-2bc0ab68e470,Weighed Mass,
277,9a7600ec-e324-40c7-842d-2bc0ab68e470,Mass Loss,
278,a13dacf7-1392-4baa-b9c2-74e2e094d143,Weighed Mass,
279,a13dacf7-1392-4baa-b9c2-74e2e094d143,Mass Loss,
280,a32865e5-5326-4d13-80bd-2cc8f1ebc1de,"Elastic Modulus, GPa",
281,a32865e5-5326-4d13-80bd-2cc8f1ebc1de,"Yield Strength, MPa",
282,a32865e5-5326-4d13-80bd-2cc8f1ebc1de,"UTS, MPa",
283,a32865e5-5326-4d13-80bd-2cc8f1ebc1de,"Elongation, %",
284,a32865e5-5326-4d13-80bd-2cc8f1ebc1de,"Strain Hardening, MPa",
285,a32865e5-5326-4d13-80bd-2cc8f1ebc1de,dUTS_dY,
286,a3555890-0c75-42b0-a9b8-15448b150e7e,Weighed Mass,
287,a3555890-0c75-42b0-a9b8-15448b150e7e,Mass Loss,
288,a4d1d231-fa5b-4979-a141-94e243edba8d,Weighed Mass,
289,a4d1d231-fa5b-4979-a141-94e243edba8d,Mass Loss,
290,a57b8136-fd4b-4ae4-b45f-75e28a30fe9f,Weighed Mass,
