,uid,name
285,fcf499f2-996d-4581-9338-d94b887add28,Mass Loss
286,1377acb0-5c8b-4e09-bd06-e57e1f3a6953,Phase
287,1377acb0-5c8b-4e09-bd06-e57e1f3a6953,Lattice Parameter
288,1377acb0-5c8b-4e09-bd06-e57e1f3a6953,"Hardness, HV"
289,1377acb0-5c8b-4e09-bd06-e57e1f3a6953,"SD, HV"
290,35c88c66-89ef-499c-8621-1d284bd0b661,Weighed Mass
291,35c88c66-89ef-499c-8621-1d284bd0b661,Mass Loss
292,8ba9f356-7b94-4632-b0fb-e44364f715fc,Weighed Mass
293,8ba9f356-7b94-4632-b0fb-e44364f715fc,Mass Loss
294,d95d6bfe-69e2-4bc7-9a1b-f03f514e05d0,Weighed Mass
295,d95d6bfe-69e2-4bc7-9a1b-f03f514e05d0,Mass Loss
296,25b091aa-8fa3-437e-9521-980d2bf78c33,Weighed Mass
297,25b091aa-8fa3-437e-9521-980d2bf78c33,Mass Loss
298,3d20774b-3f90-4b33-a58d-5624408c7561,Weighed Mass
299,3d20774b-3f90-4b33-a58d-5624408c7561,Mass Loss
300,619639b9-927f-42f7-800a-a8462eca738b,Weighed Mass
301,619639b9-927f-42f7-800a-a8462eca738b,Mass Loss
302,261fb665-e502-4585-89bd-916cb036e54e,Weighed Mass
303,261fb665-e502-4585-89bd-916cb036e54e,Mass Loss
304,2a242baa-8026-49a2-bacb-db5f1ff2efc5,Weighed Mass
305,2a242baa-8026-49a2-bacb-db5f1ff2efc5,Mass Loss
306,4d1a75c2-b700-4dd5-8ce9-88e57a6f457a,Weighed Mass
307,4d1a75c2-b700-4dd5-8ce9-88e57a6f457a,Mass Loss
308,62ad9728-f350-436b-a4f7-ec2caa51e540,Weighed Mass
309,62ad9728-f350-436b-a4f7-ec2caa51e540,Mass Loss
310,a32865e5-5326-4d13-80bd-2cc8f1ebc1de,"Elastic Modulus, GPa"
311,a32865e5-5326-4d13-80bd-2cc8f1ebc1de,"Yield Strength, MPa"
312,a32865e5-5326-4d13-80bd-2cc8f1ebc1de,"UTS, MPa"
313,a32865e5-5326-4d13-80bd-2cc8f1ebc1de,"Elongation, %"
314,a32865e5-5326-4d13-80bd-2cc8f1ebc1de,"Strain Hardening, MPa"
315,a32865e5-5326-4d13-80bd-2cc8f1ebc1de,dUTS_dY
316,586f8b2e-5bdf-40c0-b859-dd9d30a5ff96,Weighed Mass
317,586f8b2e-5bdf-40c0-b859-dd9d30a5ff96,Mass Loss
318,8e9d55bb-c333-4e33-bfd8-8c4996ef427a,"Elastic Modulus, GPa"
319,8e9d55bb-c333-4e33-bfd8-8c4996ef427a,"Yield Strength, MPa"
320,8e9d55bb-c333-4e33-bfd8-8c4996ef427a,"UTS, MPa"
321,8e9d55bb-c333-4e33-bfd8-8c4996ef427a,"Elongation, %"
322,8e9d55bb-c333-4e33-bfd8-8c4996ef427a,"Strain Hardening, MPa"
323,8e9d55bb-c333-4e33-bfd8-8c4996ef427a,dUTS_dY
324,9a7600ec-e324-40c7-842d-2bc0ab68e470,Weighed Mass
325,9a7600ec-e324-40c7-842d-2bc0ab68e470,Mass Loss
326,b1601dbd-6db3-44ce-9fe9-fcfee3b9982a,Weighed Mass
327,b1601dbd-6db3-44ce-9fe9-fcfee3b9982a,Mass Loss
328,a67a4ecd-d6cc-4318-9896-ba8fa04301d1,Weighed Mass
329,a67a4ecd-d6cc-4318-9896-ba8fa04301d1,Mass Loss
330,cb6ae495-c630-4a11-b687-2a1b74ec1d06,Weighed Mass
331,cb6ae495-c630-4a11-b687-2a1b74ec1d06,Mass Loss
332,139d52a9-d720-48bd-8759-1f01fbf2782a,Weighed Mass
333,139d52a9-d720-48bd-8759-1f01fbf2782a,Mass Loss
334,409f811e-6925-4698-a3d5-b054bc13aa9f,Weighed Mass
335,409f811e-6925-4698-a3d5-b054bc13aa9f,Mass Loss
336,948ddadf-f0e6-4022-a2f3-0de0884ea878,Weighed Mass
337,948ddadf-f0e6-4022-a2f3-0de0884ea878,Mass Loss
338,8d7d5af2-6b04-463a-ac4e-56e1beb17d3f,Weighed Mass
339,8d7d5af2-6b04-463a-ac4e-56e1beb17d3f,Mass Loss
340,32ab6499-5191-4cf7-8380-36fef3228d79,Weighed Mass
341,32ab6499-5191-4cf7-8380-36fef3228d79,Mass Loss
342,796e496f-ff2f-427d-8f88-75868e5cae69,Weighed Mass
343,796e496f-ff2f-427d-8f88-75868e5cae69,Mass Loss
344,cc32b252-7f01-4eee-9bdb-a8bf04e67271,Phase
345,cc32b252-7f01-4eee-9bdb-a8bf04e67271,Lattice Parameter
346,cc32b252-7f01-4eee-9bdb-a8bf04e67271,"Hardness, HV"
347,cc32b252-7f01-4eee-9bdb-a8bf04e67271,"SD, HV"
348,26737b08-c3e2-4ee6-9609-4b9b6ee22efd,Weighed Mass
349,26737b08-c3e2-4ee6-9609-4b9b6ee22efd,Mass Loss
350,4fb55efb-770c-4ae5-8bbe-1230a1094091,Weighed Mass
351,4fb55efb-770c-4ae5-8bbe-1230a1094091,Mass Loss
352,86e6e324-63ea-48a6-a06b-56426b69b461,"Elastic Modulus, GPa"
353,86e6e324-63ea-48a6-a06b-56426b69b461,"Yield Strength, MPa"
354,86e6e324-63ea-48a6-a06b-56426b69b461,"UTS, MPa"
355,86e6e324-63ea-48a6-a06b-56426b69b461,"Elongation, %"
356,86e6e324-63ea-48a6-a06b-56426b69b461,"Strain Hardening, MPa"
357,86e6e324-63ea-48a6-a06b-56426b69b461,dUTS_dY
358,a3555890-0c75-42b0-a9b8-15448b150e7e,Weighed Mass
359,a3555890-0c75-42b0-a9b8-15448b150e7e,Mass Loss
360,27741ab2-07d1-4010-bf75-bc2cbc1511c5,Weighed Mass
361,27741ab2-07d1-4010-bf75-bc2cbc1511c5,Mass Loss
362,53058723-c70f-4669-8b11-b0e64aab1a27,"Elastic Modulus, GPa"
363,53058723-c70f-4669-8b11-b0e64aab1a27,"Yield Strength, MPa"
364,53058723-c70f-4669-8b11-b0e64aab1a27,"UTS, MPa"
365,53058723-c70f-4669-8b11-b0e64aab1a27,"Elongation, %"
