,uid,name,type
173,3320a4e9-58a2-4edd-86ed-18a8efdfbaeb,Mass Loss,nominal_real
174,b48ebcdc-5e78-4250-9d87-cbd1b1db1e0d,Weighed Mass,nominal_real
175,b48ebcdc-5e78-4250-9d87-cbd1b1db1e0d,Mass Loss,nominal_real
176,c2ebbff3-2f5a-46c3-8f06-510dbac83d48,Weighed Mass,nominal_real
177,c2ebbff3-2f5a-46c3-8f06-510dbac83d48,Mass Loss,nominal_real
178,0e07b9dd-7d70-44d0-814b-9d1a83e49e39,Weighed Mass,nominal_real
179,0e07b9dd-7d70-44d0-814b-9d1a83e49e39,Mass Loss,nominal_real
180,261fb665-e502-4585-89bd-916cb036e54e,Weighed Mass,nominal_real
181,261fb665-e502-4585-89bd-916cb036e54e,Mass Loss,nominal_real
182,9a6beabe-3c70-417d-8afc-a330a6efcd2f,Weighed Mass,nominal_real
183,9a6beabe-3c70-417d-8afc-a330a6efcd2f,Mass Loss,nominal_real
184,0e240e33-3e67-4408-aa5d-b27d4dfb9894,Weighed Mass,nominal_real
185,0e240e33-3e67-4408-aa5d-b27d4dfb9894,Mass Loss,nominal_real
186,26737b08-c3e2-4ee6-9609-4b9b6ee22efd,Weighed Mass,nominal_real
187,26737b08-c3e2-4ee6-9609-4b9b6ee22efd,Mass Loss,nominal_real
188,2c40e9a0-b11c-4459-87cb-6ee7189184ac,"Elastic Modulus, GPa",nominal_real
189,2c40e9a0-b11c-4459-87cb-6ee7189184ac,"Yield Strength, MPa",nominal_real
190,2c40e9a0-b11c-4459-87cb-6ee7189184ac,"UTS, MPa",nominal_real
191,2c40e9a0-b11c-4459-87cb-6ee7189184ac,"Elongation, %",nominal_real
192,2c40e9a0-b11c-4459-87cb-6ee7189184ac,"Strain Hardening, MPa",nominal_real
193,2c40e9a0-b11c-4459-87cb-6ee7189184ac,dUTS_dY,nominal_real
194,9a7600ec-e324-40c7-842d-2bc0ab68e470,Weighed Mass,nominal_real
195,9a7600ec-e324-40c7-842d-2bc0ab68e470,Mass Loss,nominal_real
196,8ba9f356-7b94-4632-b0fb-e44364f715fc,Weighed Mass,nominal_real
197,8ba9f356-7b94-4632-b0fb-e44364f715fc,Mass Loss,nominal_real
198,a13dacf7-1392-4baa-b9c2-74e2e094d143,Weighed Mass,nominal_real
199,a13dacf7-1392-4baa-b9c2-74e2e094d143,Mass Loss,nominal_real
200,df5e1f3d-27de-4ca3-a365-52ab373a62bb,Phase,nominal_categorical
201,df5e1f3d-27de-4ca3-a365-52ab373a62bb,Lattice Parameter,nominal_real
202,df5e1f3d-27de-4ca3-a365-52ab373a62bb,"Hardness, HV",nominal_real
203,df5e1f3d-27de-4ca3-a365-52ab373a62bb,"SD, HV",nominal_real
204,0f324e59-64e9-4d15-a3f2-16f5bae27aec,Weighed Mass,nominal_real
205,0f324e59-64e9-4d15-a3f2-16f5bae27aec,Mass Loss,nominal_real
206,238333c4-f2b1-4bbf-9f27-940712eb0ef5,Weighed Mass,nominal_real
207,238333c4-f2b1-4bbf-9f27-940712eb0ef5,Mass Loss,nominal_real
208,27741ab2-07d1-4010-bf75-bc2cbc1511c5,Weighed Mass,nominal_real
209,27741ab2-07d1-4010-bf75-bc2cbc1511c5,Mass Loss,nominal_real
210,e6042711-a959-42f4-a0c7-0c042aa7be74,Weighed Mass,nominal_real
211,e6042711-a959-42f4-a0c7-0c042aa7be74,Mass Loss,nominal_real
212,f7c92476-8a7d-4e74-81f3-7d9065460ffe,Weighed Mass,nominal_real
213,f7c92476-8a7d-4e74-81f3-7d9065460ffe,Mass Loss,nominal_real
214,10c0f657-6692-425f-b594-ebf360b70278,Weighed Mass,nominal_real
215,10c0f657-6692-425f-b594-ebf360b70278,Mass Loss,nominal_real
216,938edd3e-1e09-4072-8731-e6894b95a9ed,"Elastic Modulus, GPa",nominal_real
217,938edd3e-1e09-4072-8731-e6894b95a9ed,"Yield Strength, MPa",nominal_real
218,938edd3e-1e09-4072-8731-e6894b95a9ed,"UTS, MPa",nominal_real
219,938edd3e-1e09-4072-8731-e6894b95a9ed,"Elongation, %",nominal_real
220,938edd3e-1e09-4072-8731-e6894b95a9ed,"Strain Hardening, MPa",nominal_real
221,938edd3e-1e09-4072-8731-e6894b95a9ed,dUTS_dY,nominal_real
222,32ab6499-5191-4cf7-8380-36fef3228d79,Weighed Mass,nominal_real
223,32ab6499-5191-4cf7-8380-36fef3228d79,Mass Loss,nominal_real
224,b3c02bc1-bbfc-49dd-a937-1586b11a9561,"Elastic Modulus, GPa",nominal_real
225,b3c02bc1-bbfc-49dd-a937-1586b11a9561,"Yield Strength, MPa",nominal_real
226,b3c02bc1-bbfc-49dd-a937-1586b11a9561,"UTS, MPa",nominal_real
227,b3c02bc1-bbfc-49dd-a937-1586b11a9561,"Elongation, %",nominal_real
228,b3c02bc1-bbfc-49dd-a937-1586b11a9561,"Strain Hardening, MPa",nominal_real
229,b3c02bc1-bbfc-49dd-a937-1586b11a9561,dUTS_dY,nominal_real
230,bc327b5a-35ce-4bf2-8af2-5545497f0491,Weighed Mass,nominal_real
231,bc327b5a-35ce-4bf2-8af2-5545497f0491,Mass Loss,nominal_real
232,c2da2ba1-37fc-4eee-a724-472609801fee,Weighed Mass,nominal_real
233,c2da2ba1-37fc-4eee-a724-472609801fee,Mass Loss,nominal_real
234,cce4e35c-f38e-44d9-9049-7ce5b33e4d79,Weighed Mass,nominal_real
235,cce4e35c-f38e-44d9-9049-7ce5b33e4d79,Mass Loss,nominal_real
236,53058723-c70f-4669-8b11-b0e64aab1a27,"Elastic Modulus, GPa",nominal_real
237,53058723-c70f-4669-8b11-b0e64aab1a27,"Yield Strength, MPa",nominal_real
238,53058723-c70f-4669-8b11-b0e64aab1a27,"UTS, MPa",nominal_real
239,53058723-c70f-4669-8b11-b0e64aab1a27,"Elongation, %",nominal_real
240,53058723-c70f-4669-8b11-b0e64aab1a27,"Strain Hardening, MPa",nominal_real
241,53058723-c70f-4669-8b11-b0e64aab1a27,dUTS_dY,nominal_real
242,abf35264-289f-4b4a-b96b-2f9e8403cf8b,Weighed Mass,nominal_real
243,abf35264-289f-4b4a-b96b-2f9e8403cf8b,Mass Loss,nominal_real
244,d1abe872-736a-46bd-b21e-31ac5f432eca,Phase,nominal_categorical
245,d1abe872-736a-46bd-b21e-31ac5f432eca,Lattice Parameter,nominal_real
246,d1abe872-736a-46bd-b21e-31ac5f432eca,"Hardness, HV",nominal_real
247,d1abe872-736a-46bd-b21e-31ac5f432eca,"SD, HV",nominal_real
248,eaabd5df-4599-4b87-bd8d-e54efabd8b97,Weighed Mass,nominal_real
249,eaabd5df-4599-4b87-bd8d-e54efabd8b97,Mass Loss,nominal_real
250,fcf499f2-996d-4581-9338-d94b887add28,Weighed Mass,nominal_real
251,fcf499f2-996d-4581-9338-d94b887add28,Mass Loss,nominal_real
252,07e13dc7-8f1a-44d7-bec8-5097f87d460a,"Elastic Modulus, GPa",nominal_real
253,07e13dc7-8f1a-44d7-bec8-5097f87d460a,"Yield Strength, MPa",nominal_real
254,07e13dc7-8f1a-44d7-bec8-5097f87d460a,"UTS, MPa",nominal_real
255,07e13dc7-8f1a-44d7-bec8-5097f87d460a,"Elongation, %",nominal_real
256,07e13dc7-8f1a-44d7-bec8-5097f87d460a,"Strain Hardening, MPa",nominal_real
257,07e13dc7-8f1a-44d7-bec8-5097f87d460a,dUTS_dY,nominal_real
258,10df93f2-3785-49e6-a816-c8561ff6d636,Weighed Mass,nominal_real
259,10df93f2-3785-49e6-a816-c8561ff6d636,Mass Loss,nominal_real
260,c9d7fcc1-4f54-411e-863c-fbc46d277540,Weighed Mass,nominal_real
261,c9d7fcc1-4f54-411e-863c-fbc46d277540,Mass Loss,nominal_real
262,ef888c15-e205-46de-8c7e-6946e1f877ac,Phase,nominal_categorical
263,ef888c15-e205-46de-8c7e-6946e1f877ac,Lattice Parameter,nominal_real
264,ef888c15-e205-46de-8c7e-6946e1f877ac,"Hardness, HV",nominal_real
265,ef888c15-e205-46de-8c7e-6946e1f877ac,"SD, HV",nominal_real
266,014fa458-9fba-40d7-b602-5829cc6becdd,Weighed Mass,nominal_real
267,014fa458-9fba-40d7-b602-5829cc6becdd,Mass Loss,nominal_real
268,72d63ce3-85fc-451b-a557-84c43f81d835,Weighed Mass,nominal_real
269,72d63ce3-85fc-451b-a557-84c43f81d835,Mass Loss,nominal_real
270,d0a30b8d-e28f-4ed3-a06f-7e6a90356513,Weighed Mass,nominal_real
271,d0a30b8d-e28f-4ed3-a06f-7e6a90356513,Mass Loss,nominal_real
272,df1da267-619a-42f5-9fac-4ddc9ede30d0,Weighed Mass,nominal_real
273,df1da267-619a-42f5-9fac-4ddc9ede30d0,Mass Loss,nominal_real
274,17e7abb9-9f40-4558-b750-608f4cf47447,Weighed Mass,nominal_real
275,17e7abb9-9f40-4558-b750-608f4cf47447,Mass Loss,nominal_real
276,86e6e324-63ea-48a6-a06b-56426b69b461,"Elastic Modulus, GPa",nominal_real
277,86e6e324-63ea-48a6-a06b-56426b69b461,"Yield Strength, MPa",nominal_real
278,86e6e324-63ea-48a6-a06b-56426b69b461,"UTS, MPa",nominal_real
279,86e6e324-63ea-48a6-a06b-56426b69b461,"Elongation, %",nominal_real
280,86e6e324-63ea-48a6-a06b-56426b69b461,"Strain Hardening, MPa",nominal_real
281,86e6e324-63ea-48a6-a06b-56426b69b461,dUTS_dY,nominal_real
282,faa181eb-2955-402f-b1df-70262fae9995,Weighed Mass,nominal_real
283,faa181eb-2955-402f-b1df-70262fae9995,Mass Loss,nominal_real
284,f7bb67d4-1005-4889-9d3f-70382d2c8841,Weighed Mass,nominal_real
285,f7bb67d4-1005-4889-9d3f-70382d2c8841,Mass Loss,nominal_real
286,35c88c66-89ef-499c-8621-1d284bd0b661,Weighed Mass,nominal_real
287,35c88c66-89ef-499c-8621-1d284bd0b661,Mass Loss,nominal_real
288,a9e1b94f-967e-4096-91e5-b6335df56736,"Elastic Modulus, GPa",nominal_real
289,a9e1b94f-967e-4096-91e5-b6335df56736,"Yield Strength, MPa",nominal_real
290,a9e1b94f-967e-4096-91e5-b6335df56736,"UTS, MPa",nominal_real
291,a9e1b94f-967e-4096-91e5-b6335df56736,"Elongation, %",nominal_real
292,a9e1b94f-967e-4096-91e5-b6335df56736,"Strain Hardening, MPa",nominal_real
293,a9e1b94f-967e-4096-91e5-b6335df56736,dUTS_dY,nominal_real
294,d57e11f6-2cdb-45cb-bdac-fdfeb179dc8c,Weighed Mass,nominal_real
295,d57e11f6-2cdb-45cb-bdac-fdfeb179dc8c,Mass Loss,nominal_real
296,df9cd909-0ba6-4614-bcf9-f19e6a90ce1f,"Elastic Modulus, GPa",nominal_real
297,df9cd909-0ba6-4614-bcf9-f19e6a90ce1f,"Yield Strength, MPa",nominal_real
298,df9cd909-0ba6-4614-bcf9-f19e6a90ce1f,"UTS, MPa",nominal_real
